,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Month,Profit Margin,Month Date,Weekday
0,Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Women's Apparel,8969.24,218,2245,781041.0,Online,2021,June,34790.24498886414,6,Thursday
1,West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Women's Apparel,8969.24,163,1679,781041.0,Online,2021,July,46518.22513400834,7,Friday
2,Sports Direct,1197831,2021-08-25,South,Alabama,Birmingham,Men's Street Footwear,870.8,700,7000,75829.0,Outlet,2021,August,1083.2714285714285,8,Wednesday
3,Sports Direct,1197831,2021-08-27,South,Alabama,Birmingham,Women's Street Footwear,1306.2,575,8625,113744.0,Outlet,2021,August,1318.7710144927537,8,Friday
4,Sports Direct,1197831,2021-08-21,South,Alabama,Birmingham,Women's Street Footwear,1306.2,475,7125,113744.0,Outlet,2021,August,1596.4070175438596,8,Saturday
5,West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Street Footwear,1306.2,475,7125,113744.0,In-store,2021,January,1596.4070175438596,1,Monday
6,Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Men's Athletic Footwear,1741.6,450,9000,151659.0,Online,2021,November,1685.1,11,Wednesday
7,Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Street Footwear,1306.2,450,6750,113744.0,Online,2021,January,1685.0962962962963,1,Saturday
8,West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,1741.6,450,9000,151659.0,In-store,2021,April,1685.1,4,Saturday
9,Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,3831.52,434,1910,333649.0,Outlet,2020,March,17468.534031413612,3,Tuesday
10,Foot Locker,1185732,2021-01-18,Midwest,Michigan,Detroit,Women's Street Footwear,1741.6,425,8500,151659.0,In-store,2021,January,1784.2235294117647,1,Monday
11,West Gear,1185732,2021-02-11,Midwest,Missouri,St. Louis,Women's Street Footwear,1306.2,425,6375,113744.0,In-store,2021,February,1784.219607843137,2,Thursday
12,West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Street Footwear,1741.6,425,8500,151659.0,In-store,2021,June,1784.2235294117647,6,Friday
